"id","item","grandeza","quantidade","preco_unitario","preco_total","data","hora","estabelecimento","cnpj","endereco"
285,CREME DENTAL COLGATE TRIPLA ACAO 180G,UN,"1","6,48","6,48","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
286,SABAO GIRANDO SOL 1KG,UN,"1","7,98","7,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
287,TANG UVA INTENSA,UN,"1","0,98","0,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
288,SACO LIXO ROLO BIO LAR PRETO 50L,UN,"1","21,98","21,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
289,ABSORVENTE SEMPRE LIVRE ESPECIAL C/ABAS C/16,UN,"1","7,98","7,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
290,ABSORVENTE INTIMUS INTERNO C/8 SUPER,UN,"1","7,98","7,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
291,ESPONJA BRILHUS C/4,UN,"1","4,98","4,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
292,LEITE FRIMESA 1L INTEGRAL,UN,"1","5,98","5,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
293,LEITE FRIMESA 1L INTEGRAL,UN,"1","5,98","5,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
294,BISCOITO MARILAN 350G MAIZENA,UN,"1","6,98","6,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
295,MISTURA HORIZONTE 500G PAO DE QUEIJO,UN,"1","6,98","6,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
296,ESCOVA DENTAL JADEPRO SLIM 5700 ULTRAFINAS C/2,UN,"1","17,98","17,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
297,SAPOLIO RADIUM CREMOSO 250ML LAVANDA,UN,"1","8,98","8,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
298,MOLHO VERDE D`AJUDA PET 185G,UN,"1","5,78","5,78","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
299,ACHOCOLATADO NESCAU 370G,UN,"1","7,98","7,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
300,CHA OETKER 10G FRUTAS BOSQUE,UN,"1","7,98","7,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
301,SHAMPOO ELSEVE 200ML OLEO EXTRAORDINARIO,UN,"1","13,98","13,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
302,LIMPADOR PERFUMADO UAU 1L ROSA E SEDUCAO,UN,"1","8,98","8,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
303,BANHA EM POTE 450G,UN,"1","6,98","6,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
304,INSETICIDA LIQUIDO BAYGON PET 475ML,UN,"1","18,98","18,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
305,PATO GERMINEX 750ML MARINE,UN,"1","12,98","12,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
306,KIT 2 VEJA ORIGINAL +1 POWER FUSION,UN,"1","15,98","15,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
307,TOALHINHA UMEDECIDA MILI BABY C/110,UN,"1","12,98","12,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
308,DETERGENTE YPE 500ML MACA,UN,"1","2,68","2,68","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
309,VINAGRE VITALIA 750ML ALCOOL,UN,"1","1,99","1,99","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
310,VINAGRE VITALIA 750ML ALCOOL,UN,"1","1,99","1,99","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
311,OLEO DE SOJA CONCORDIA 900ML,UN,"1","9,98","9,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
312,OLEO DE SOJA CONCORDIA 900ML,UN,"1","9,98","9,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
313,DETERGENTE YPE 500ML CLEAR CARE,UN,"1","2,68","2,68","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
314,DETERGENTE YPE 500ML MACA,UN,"1","2,68","2,68","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
315,DETERGENTE YPE 500ML CLEAR CARE,UN,"1","2,68","2,68","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
316,COMEDOURO PLASTICO DUPLO GRANDE,UN,"1","7,98","7,98","31/03/2022","09:31:44",EVANDRO MARINI - EPP,"00.859.871/0001-65","RUA SANTA TEREZINHA                            ,                            1015                            ,                                                        ,                            CENTRO                            ,                            ELDORADO                            ,                            MS"
